height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
0.955596,123.395,134.237,109.042,98.3049,177.966,103.723
0.926577,123.522,134.211,108.958,113.481,177.997,103.759
0.92724,123.488,134.25,108.839,111.439,178.018,103.784
0.958774,123.468,134.321,108.5,97.2797,178.01,103.816
0.958447,123.496,134.381,108.507,97.2377,178.02,103.77
0.958392,123.541,134.364,108.341,97.2219,178.019,103.774
0.959014,124.347,134.134,108.206,97.2388,177.733,104.076
0.959396,124.176,134.129,110.294,97.2862,177.745,104.112
0.959444,123.873,134.219,109.546,97.2844,177.704,104.265
0.959752,123.922,134.168,109.922,97.26,177.679,104.368
0.960738,123.704,134.156,109.736,97.3167,177.686,104.458
0.960457,123.584,134.164,109.764,97.3072,177.696,104.444
0.960133,123.51,134.205,109.748,97.3021,177.698,104.44
0.959954,123.427,134.236,109.585,97.2884,177.725,104.42
0.961498,123.31,134.279,109.455,96.7578,177.762,104.365
0.962634,123.182,134.314,109.354,96.3682,177.775,104.372
0.963162,123.143,134.333,109.42,96.1167,177.803,104.344
0.964184,123.161,134.306,109.322,95.8501,177.825,104.361
0.961901,123.068,134.325,109.284,96.7936,177.844,104.364
0.961835,123.038,134.376,102.75,96.8485,177.849,104.374
0.962859,123.006,134.384,108.243,96.4515,177.854,104.356
0.934863,122.963,134.394,108.117,106.728,177.896,104.336
0.960323,123.011,134.38,108.267,97.4209,177.884,104.301
0.960877,123.578,134.178,108.197,97.4733,177.829,104.388
0.961119,123.557,134.197,108.152,97.5033,177.848,104.367
0.961344,123.606,134.233,108.021,97.5241,177.836,104.386
0.961342,123.634,134.222,108.092,97.5732,177.845,104.391
0.954332,123.575,134.26,108.129,100.366,177.838,104.354
0.953692,123.522,134.284,108.323,100.676,177.843,104.387
0.931754,123.859,134.104,108.392,111.202,177.823,104.408
0.931646,123.726,134.183,108.46,110.566,177.833,104.356
0.931616,124.018,134.058,108.438,110.596,177.802,104.405
0.971653,123.765,134.171,108.503,93.7139,177.808,104.372
0.971406,123.606,134.216,108.505,93.7199,177.813,104.337
0.971117,123.476,134.353,108.82,93.6903,177.834,104.277
0.971364,123.428,134.356,108.905,93.719,177.816,104.305
0.971315,123.23,134.415,108.875,93.6982,177.806,104.302
0.971394,123.15,134.456,112.51,93.7172,177.796,104.324
0.971176,123.112,134.483,109.747,93.6933,177.793,104.303
0.971108,123.035,134.506,109.831,93.6801,177.759,104.332
0.968754,123.046,134.534,109.594,94.8064,177.76,104.358
0.967902,123.484,134.438,111.401,95.3313,177.684,104.432
0.96721,123.661,134.414,110.324,95.4865,177.626,104.459
0.958917,123.652,134.411,109.588,98.6784,177.616,104.465
0.963392,123.547,134.55,111.32,97.0712,177.544,104.545
0.969552,123.686,134.484,109.381,94.6969,177.51,104.557
0.93309,123.362,134.61,109.173,107.423,177.519,104.529
0.932939,123.129,134.671,109.071,107.438,177.484,104.553
0.968166,123.603,134.529,109.12,95.0491,177.406,104.716
0.968841,123.708,134.401,109.253,95.124,177.392,104.806
0.968427,123.494,134.47,109.197,95.1527,177.389,104.816
0.931824,123.514,134.472,109.405,108.112,177.362,104.853
0.972657,123.335,134.544,109.397,93.6858,177.394,104.811
0.972699,123.273,134.575,111.495,93.7149,177.405,104.818
0.966396,123.215,134.634,111.074,95.9628,177.416,104.779
0.965411,123.481,134.531,110.665,96.5624,177.366,104.862
0.964957,123.475,134.55,110.499,96.8087,177.361,104.864
0.966396,123.166,134.685,110.448,96.3249,177.383,104.86
0.966367,123.35,134.641,110.336,96.8011,177.347,104.912
0.966511,123.419,134.653,109.733,96.9273,177.318,104.917
0.966429,123.632,134.575,109.58,96.9066,177.306,104.911
0.969025,123.3,134.68,109.613,95.5636,177.353,104.83
0.969954,123.421,134.612,109.673,95.2432,177.323,104.892
0.963731,123.507,134.557,109.669,97.3898,177.315,104.87
0.964252,123.395,134.629,109.726,97.1417,177.308,104.871
0.96496,123.521,134.588,111.929,96.9501,177.292,104.896
0.966487,123.436,134.658,111.397,96.4997,177.274,104.966
0.966682,123.201,134.718,111.251,96.4176,177.028,105.135
0.967587,123.208,134.721,111.165,96.2677,177.044,105.136
0.967123,123.175,134.747,110.931,96.4727,177.077,105.106
0.966947,123.207,134.706,111.02,96.5657,177.121,105.066
0.966927,123.213,134.692,110.685,96.6466,177.165,104.998
0.966831,123.194,134.697,103.083,96.6873,177.169,105.006
0.930282,123.215,134.695,110.071,109.326,177.17,104.991
0.961159,123.217,134.714,111.494,98.8818,177.202,104.908
0.922364,123.12,134.732,111.825,112.869,177.207,104.863
0.972333,123.559,134.635,110.447,94.2235,177.106,105.005
0.971125,123.435,134.669,110.499,94.8292,177.119,105.009
0.970848,123.322,134.722,110.471,95.0198,177.079,105.036
0.970659,123.195,134.781,105.192,95.1049,177.064,105.052
0.926983,123.2,134.776,111.685,110.432,177.059,105.076
0.956921,123.502,134.663,110.489,99.9567,176.935,105.205
0.956087,123.455,134.695,111.319,100.959,176.954,105.142
0.96419,123.307,134.771,110.423,97.9176,176.948,105.139
0.96454,123.188,134.821,110.265,97.6736,176.746,105.309
0.966262,123.199,134.839,110.065,97.0182,176.754,105.306
0.955807,123.148,134.87,104.302,101.137,176.775,105.291
0.967402,123.115,134.899,109.92,96.7488,176.788,105.246
0.968042,123.11,134.898,109.762,96.404,176.799,105.219
0.930323,123.038,134.92,109.69,110.943,176.812,105.186
0.949402,122.894,134.955,112.013,101.887,176.839,105.144
0.925728,122.846,134.984,110.903,111.526,176.846,105.125
0.968006,122.827,135.002,111.429,95.5196,176.857,105.113
0.967536,122.829,135.03,111.165,95.5037,176.871,105.082
0.967535,122.829,135.046,110.977,95.5274,176.889,105.097
0.96692,122.775,135.076,110.982,95.5216,176.895,105.066
0.967168,122.897,135.064,110.804,95.5566,176.899,105.103
0.934565,122.824,135.144,110.864,106.924,176.917,105.059
0.934024,122.711,135.185,110.993,106.921,176.799,105.17
0.933504,122.605,135.234,111,106.906,176.83,105.116
0.956159,122.848,135.145,110.948,98.6614,176.723,105.212
0.956129,122.807,135.176,110.852,98.5628,176.757,105.174
0.956271,122.758,135.213,110.878,98.5685,176.772,105.19
0.956475,122.74,135.195,111.661,98.535,176.8,105.214
0.956133,122.95,135.093,111.403,98.5254,176.789,105.21
0.955718,122.709,135.168,111.164,98.5091,176.691,105.271
0.956494,122.704,135.199,110.882,98.4331,176.719,105.29
0.956163,122.943,135.127,110.542,98.4007,176.764,105.234
0.956655,123.048,135.046,110.614,98.467,176.813,105.253
0.956623,122.895,135.098,110.57,98.477,176.841,105.235
0.958148,122.784,135.155,110.588,98.2207,176.862,105.252
0.958767,122.732,135.166,110.65,98.1752,176.885,105.271
0.959206,122.728,135.183,110.88,98.2183,176.876,105.316
0.958074,122.694,135.191,110.87,98.6543,176.862,105.345
0.924398,122.8,135.195,110.651,113.385,176.832,105.381
0.924381,122.791,135.199,110.661,113.861,176.813,105.399
0.962678,122.791,135.227,110.924,96.7716,176.807,105.346
0.96301,122.902,135.196,110.96,96.7924,176.795,105.382
0.961604,122.983,135.17,111.078,97.3921,176.759,105.41
0.948179,123.01,135.136,111.081,102.49,176.719,105.452
0.94812,123.113,135.073,111.052,102.592,176.698,105.467
