height,leftHipAngle,rightHipAngle,leftKneeAngle,RightKneeAngle,chestAngle,chestKneeAngle
1.48064,98.4132,99.0325,167.984,167.891,176.645,169.831
1.48065,98.4101,99.0311,168.009,167.885,176.645,169.833
1.4806,98.4107,99.0217,168.01,167.905,176.646,169.831
1.48056,98.4047,99.0128,167.973,167.894,176.646,169.842
1.48042,98.4096,99.0115,167.981,167.889,176.647,169.84
1.48042,98.4186,99.0002,167.994,167.894,176.647,169.844
1.48021,98.425,98.9902,168.023,167.913,176.647,169.843
1.48042,98.4017,99.0073,167.952,167.768,176.647,169.85
1.48044,98.396,99.0117,167.974,167.751,176.647,169.855
1.48043,98.3916,99.0079,167.993,167.748,176.647,169.859
1.4804,98.3864,99.0046,168.014,167.769,176.646,169.871
1.4804,98.4049,98.9979,168.013,167.77,176.646,169.872
1.48019,98.4121,98.997,167.988,167.803,176.647,169.867
1.48011,98.4185,98.9884,167.979,167.807,176.65,169.865
1.48006,98.421,98.986,167.982,167.802,176.649,169.871
1.47996,98.415,98.9799,167.996,167.816,176.645,169.882
1.4799,98.4138,98.9948,168.002,167.789,176.642,169.881
1.47979,98.4062,99.0123,168.004,167.789,176.642,169.881
1.47976,98.4085,99.0184,168.012,167.774,176.635,169.891
1.47976,98.4209,99.0059,168.024,167.781,176.634,169.896
1.47975,98.4177,99.0038,168.029,167.787,176.631,169.906
1.47973,98.4223,99,168.042,167.795,176.631,169.91
1.47972,98.4246,99.0072,168.049,167.794,176.63,169.908
1.47966,98.4241,99.0058,168.054,167.797,176.627,169.914
1.47966,98.4181,99.0124,168.072,167.799,176.624,169.913
1.47956,98.4264,99.0285,168.104,167.829,176.62,169.908
1.47956,98.4197,99.0462,168.101,167.827,176.619,169.903
1.47972,98.4326,99.0473,168.088,167.718,176.621,169.897
1.47968,98.4447,99.0479,168.081,167.709,176.622,169.899
1.47968,98.4365,99.059,168.09,167.7,176.621,169.894
1.47964,98.4525,99.0571,168.075,167.718,176.617,169.897
1.47962,98.4453,99.0532,168.077,167.721,176.61,169.914
1.47962,98.4441,99.0713,168.088,167.7,176.606,169.93
1.47962,98.4443,99.0663,168.057,167.722,176.604,169.932
1.47959,98.4396,99.0752,168.046,167.696,176.601,169.937
1.47958,98.4564,99.0573,168.037,167.726,176.601,169.935
1.47949,98.4634,99.0645,168.03,167.726,176.591,169.934
1.47948,98.4666,99.0603,168.037,167.708,176.591,169.93
1.47946,98.4776,99.0465,168.032,167.706,176.588,169.924
1.4794,98.4836,99.0578,168.031,167.721,176.587,169.918
1.47947,98.493,99.0614,168.088,167.664,176.587,169.918
1.47936,98.4921,99.0598,168.064,167.687,176.589,169.914
1.47915,98.5012,99.06,168.056,167.768,176.591,169.904
1.47906,98.5094,99.0566,168.064,167.742,176.596,169.901
1.47904,98.511,99.0554,168.067,167.744,176.598,169.892
1.47901,98.5089,99.0847,168.063,167.716,176.606,169.863
1.479,98.5112,99.089,168.063,167.694,176.61,169.851
1.47899,98.5089,99.1183,168.065,167.665,176.619,169.826
1.47898,98.4894,99.1316,168.077,167.654,176.618,169.833
1.47897,98.4988,99.1236,168.072,167.669,176.621,169.824
1.47878,98.4917,99.1399,168.124,167.691,176.62,169.825
1.47875,98.492,99.1493,168.12,167.688,176.621,169.818
1.47875,98.4894,99.1593,168.166,167.678,176.623,169.815
1.47878,98.4842,99.178,168.186,167.66,176.624,169.808
1.47875,98.4856,99.1745,168.178,167.668,176.623,169.809
1.47881,98.4834,99.1769,168.154,167.642,176.624,169.811
1.47894,98.4805,99.175,168.128,167.58,176.625,169.814
1.47898,98.4815,99.1813,168.128,167.579,176.622,169.818
1.47894,98.4982,99.1712,168.124,167.633,176.622,169.815
1.47892,98.4941,99.1821,168.115,167.637,176.627,169.815
1.47893,98.4968,99.1863,168.111,167.639,176.629,169.825
1.47886,98.4882,99.1973,168.116,167.669,176.627,169.827
1.47866,98.4893,99.1952,168.131,167.677,176.627,169.834
1.47864,98.4874,99.1959,168.12,167.692,176.626,169.838
1.47864,98.4979,99.1959,168.109,167.694,176.626,169.836
1.47862,98.4913,99.2025,168.106,167.695,176.626,169.842
1.47848,98.4864,99.212,168.101,167.709,176.626,169.841
1.47854,98.4686,99.2161,168.107,167.712,176.626,169.854
1.47853,98.4697,99.2124,168.111,167.722,176.628,169.852
1.47853,98.4592,99.2123,168.113,167.716,176.63,169.857
1.47845,98.4675,99.2155,168.107,167.749,176.63,169.852
1.47841,98.4558,99.2083,168.118,167.79,176.634,169.858
1.47836,98.4717,99.1996,168.085,167.813,176.635,169.844
1.47834,98.4673,99.2048,168.085,167.83,176.638,169.854
1.47828,98.4369,99.2159,168.115,167.798,176.64,169.858
1.47819,98.4438,99.2142,168.106,167.809,176.644,169.843
1.47817,98.4356,99.2132,168.108,167.821,176.647,169.847
